suburb,sale_date,price
Manukau,2022-02-18,788948.97
Remuera,2022-01-26,1628876.52
Epsom,2023-09-29,922597.12
Epsom,2022-06-20,864332.33
Epsom,2023-10-14,1064384.23
Epsom,2024-03-19,851858.98
Albany,2023-07-05,705956.61
Ponsonby,2022-12-20,1401689.85
Manukau,2026-01-27,1067920.36
Albany,2025-06-20,864002.44
Grey Lynn,2024-08-01,947832.07
Epsom,2024-09-26,952572.76
Remuera,2025-07-26,1652601.99
Albany,2022-04-05,665533.17
Epsom,2022-01-08,968367.21
Manukau,2022-08-21,942479.29
Mount Eden,2024-02-28,1027855.45
Ponsonby,2024-01-15,1559656.56
Mount Eden,2023-03-20,869904.58
Ponsonby,2022-05-21,1261407.19
Manukau,2022-12-12,1004452.43
Remuera,2021-03-18,1463300.54
Grey Lynn,2026-01-07,1004887.03
Albany,2021-05-02,648938.2
Epsom,2024-02-22,993483.92
Albany,2024-05-15,912408.08
Grey Lynn,2024-10-02,1027650.27
Manukau,2021-10-23,1040436.97
Remuera,2021-10-02,1575114.16
Epsom,2021-04-26,955432.45
Manukau,2024-01-30,855674.6
Manukau,2021-05-31,883143.29
Epsom,2024-07-19,874262.12
Epsom,2023-04-02,1045290.34
Epsom,2021-02-21,816139.89
Ponsonby,2022-09-11,1403297.77
Ponsonby,2022-04-18,1173280.18
Remuera,2024-05-09,1609325.6
Ponsonby,2022-09-08,1373101.85
Ponsonby,2021-06-07,1248462.4
Ponsonby,2024-12-02,1247711.92
Ponsonby,2024-03-20,1401732.17
Grey Lynn,2025-07-12,1050763.9
Epsom,2024-02-18,1030291.72
Manukau,2023-11-04,964183.99
Albany,2025-05-13,792861.4
Grey Lynn,2025-08-03,1194818.74
Ponsonby,2022-12-27,1303930.91
Mount Eden,2021-03-20,1024907.07
Remuera,2021-12-05,1677221.96
Manukau,2024-10-16,941208.26
Ponsonby,2021-03-12,1408144.13
Ponsonby,2025-09-19,1666683.97
Grey Lynn,2024-06-03,1054294.93
Epsom,2023-09-20,947002.96
Mount Eden,2022-11-21,917358.53
Ponsonby,2022-09-09,1457884.89
Albany,2022-12-31,656710.04
Epsom,2024-07-10,1105125.81
Ponsonby,2025-11-10,1665434.73
Grey Lynn,2023-09-23,1166440.46
Ponsonby,2025-09-09,1525465.48
Albany,2022-07-27,675665.12
Remuera,2025-01-12,1633955.74
Epsom,2023-07-08,832327.96
Albany,2025-07-02,791452.06
Albany,2021-03-15,774499.84
Epsom,2023-09-22,1033522.03
Mount Eden,2023-05-04,864109.4
Ponsonby,2021-12-04,1387444.03
Epsom,2025-09-12,1066079.91
Remuera,2024-03-19,1778280.66
Manukau,2025-06-09,1170036.57
Grey Lynn,2021-02-26,817018.71
Albany,2024-07-27,885566.05
Manukau,2025-09-15,970884.02
Grey Lynn,2023-12-25,1037580.14
Grey Lynn,2023-08-11,1151865.04
Epsom,2021-12-10,834953.46
Manukau,2023-01-28,934486.79
Manukau,2023-10-17,891809.43
Albany,2025-04-09,811619.97
Ponsonby,2021-06-07,1065914.71
Epsom,2023-05-20,1005205.33
Manukau,2022-10-16,893873.52
Remuera,2023-11-17,1731199.52
Mount Eden,2025-02-12,846937.8
Manukau,2021-03-04,870700.23
Manukau,2022-05-19,962964.48
Grey Lynn,2024-05-24,1099863.19
Grey Lynn,2023-01-24,1123257.75
Mount Eden,2023-09-04,1017758.45
Manukau,2024-03-15,1215914.25
Epsom,2025-09-16,1182287.62
Mount Eden,2023-02-03,992464.13
Grey Lynn,2024-10-31,1112668.88
Manukau,2021-08-26,850770.58
Grey Lynn,2021-04-02,731249.08
Grey Lynn,2022-11-01,1079332.81
Ponsonby,2023-05-08,1217372.69
Epsom,2023-04-14,977577.2
Remuera,2023-10-19,1623402.97
Grey Lynn,2021-06-24,805883.89
Mount Eden,2022-08-05,1134282.45
Ponsonby,2022-11-13,1288206.04
Grey Lynn,2023-06-23,988020.1
Grey Lynn,2025-10-25,1022159.85
Mount Eden,2023-02-14,914040.18
Epsom,2024-02-19,937303.89
Ponsonby,2023-08-12,1461785.05
Ponsonby,2023-01-21,1167534.21
Manukau,2022-10-22,811778.61
Epsom,2022-04-26,1023752.22
Albany,2022-07-31,808252.22
Epsom,2024-02-19,1068469.27
Epsom,2024-11-29,1008151.41
Epsom,2025-05-28,1096252.25
Remuera,2021-12-10,1577533.64
Mount Eden,2023-02-20,849809.22
Epsom,2021-10-12,761046.89
Ponsonby,2023-03-22,1353295.87
Manukau,2024-05-24,923562.23
Manukau,2024-02-15,917176.31
Grey Lynn,2023-07-09,937313.47
Mount Eden,2022-09-12,952852.82
Grey Lynn,2023-12-15,940538.56
Mount Eden,2026-01-19,951355.95
Manukau,2022-06-07,774322.12
Epsom,2023-02-19,933887.45
Manukau,2025-11-18,1273749.04
Remuera,2026-01-09,1636148.16
Albany,2023-03-03,709700.09
Mount Eden,2023-09-06,1104648.07
Albany,2024-09-30,908045.21
Ponsonby,2022-03-17,1269515.49
Epsom,2024-04-03,1052069.02
Mount Eden,2023-11-25,2750000.0
Mount Eden,2021-06-23,965610.7
Epsom,2022-02-13,1127028.18
Manukau,2021-12-03,930211.71
Albany,2022-08-14,713290.37
Grey Lynn,2022-05-17,1009822.69
Grey Lynn,2022-06-18,840662.08
Remuera,2024-10-03,1746409.24
Ponsonby,2023-08-03,1545651.48
Mount Eden,2021-10-19,734164.52
Albany,2021-09-13,846961.65
Grey Lynn,2023-11-16,814228.74
Remuera,2023-09-24,1649025.69
Grey Lynn,2025-07-08,952470.35
Remuera,2023-10-18,1621709.09
Ponsonby,2022-01-24,1440330.68
Ponsonby,2023-01-21,1368169.68
Mount Eden,2024-01-08,946082.98
Mount Eden,2021-10-12,851163.38
Remuera,2024-04-03,1546389.02
Albany,2024-11-25,944674.82
Manukau,2025-09-16,1233178.2
Albany,2025-10-22,832181.38
Epsom,2025-01-24,1136131.85
Remuera,2025-01-12,1809743.07
Remuera,2025-11-06,1922890.55
Epsom,2024-02-10,1104883.54
Remuera,2024-12-09,1564674.0
Epsom,2025-06-13,1216263.1
Manukau,2023-01-14,952751.94
Mount Eden,2023-12-13,820620.66
Grey Lynn,2021-03-17,848280.85
Mount Eden,2025-10-14,952429.76
Ponsonby,2021-07-06,1336008.35
Manukau,2022-04-21,817824.73
Ponsonby,2022-10-17,1389253.99
Remuera,2025-11-16,1795002.06
Mount Eden,2023-04-25,994474.08
Grey Lynn,2024-09-01,883577.41
Albany,2021-04-30,640709.73
Ponsonby,2023-12-16,1442828.76
Albany,2025-11-02,1005942.96
Mount Eden,2025-03-17,1139108.03
Mount Eden,2021-06-07,803032.12
Manukau,2025-12-23,1329879.93
Grey Lynn,2025-02-17,1019064.56
Remuera,2022-06-22,1657145.18
Remuera,2021-04-09,1478535.11
Grey Lynn,2021-12-10,773571.1
Manukau,2024-10-20,867789.47
Manukau,2022-07-31,857808.47
Ponsonby,2021-11-21,1179790.41
Epsom,2022-04-01,905093.15
Manukau,2022-01-15,1043473.87
Ponsonby,2024-01-31,1358864.31
Grey Lynn,2022-06-14,849187.2
Remuera,2023-09-24,1729657.82
Mount Eden,2021-05-20,843177.6
Epsom,2022-05-15,852678.42
Manukau,2022-12-14,854696.81
Remuera,2024-08-23,1752799.11
Grey Lynn,2024-11-06,1031003.59
Epsom,2024-05-12,1010764.78
Albany,2022-02-13,744593.17
Remuera,2022-04-03,1730361.44
Grey Lynn,2023-01-02,935122.31
Epsom,2025-07-07,1090901.13
Albany,2025-04-03,1027200.94
Albany,2025-10-01,861299.59
Albany,2024-03-29,853299.25
Mount Eden,2021-07-19,810625.05
Ponsonby,2024-01-02,1469723.74
Albany,2022-03-07,760172.97
Epsom,2025-03-20,1034079.02
Remuera,2022-12-14,1590255.29
Albany,2021-10-05,557322.8
Remuera,2023-09-28,1756832.67
Mount Eden,2026-02-12,1163248.72
Albany,2022-03-16,676294.19
Grey Lynn,2025-04-27,1120400.43
Albany,2023-12-10,603468.75
Manukau,2023-05-31,928958.24
Ponsonby,2023-05-17,1445132.34
Remuera,2023-03-22,1433407.02
Albany,2024-07-18,672963.29
Manukau,2021-08-15,988895.95
Epsom,2024-10-27,1052844.16
Ponsonby,2023-05-03,1385096.03
Manukau,2025-05-04,1067704.57
Remuera,2023-10-06,1633878.09
Mount Eden,2022-11-22,860139.57
Manukau,2022-11-24,718704.7
Mount Eden,2026-01-01,1235123.76
Remuera,2024-01-24,1649353.45
Grey Lynn,2022-07-21,815257.35
Albany,2022-12-17,690215.41
Manukau,2025-03-08,1070792.81
Manukau,2021-08-22,1139836.61
Epsom,2023-05-20,1140819.1
Manukau,2023-01-14,1004369.93
Manukau,2022-04-17,845340.3
Manukau,2023-11-15,937584.36
Albany,2024-07-30,876242.35
Mount Eden,2022-12-14,805224.74
Ponsonby,2025-10-23,1392585.45
Grey Lynn,2025-12-04,1114473.38
Manukau,2022-10-02,1015148.62
Remuera,2023-09-25,1676287.81
Albany,2024-04-24,689751.04
Ponsonby,2025-08-24,1503608.57
Remuera,2024-04-26,1642205.27
Ponsonby,2023-02-05,1282845.19
Epsom,2021-08-08,884546.94
Manukau,2021-03-22,967485.5
Albany,2025-07-17,1005655.39
Albany,2025-05-08,828134.16
Mount Eden,2025-05-07,1091269.47
Remuera,2022-11-06,1752540.49
Albany,2023-06-05,708417.88
Epsom,2022-08-09,566878.1
Manukau,2021-07-26,731029.65
Epsom,2025-11-22,1010437.51
Grey Lynn,2022-04-04,897379.25
Manukau,2024-12-01,1042450.42
Albany,2024-01-18,743438.38
Manukau,2022-08-09,972636.09
Albany,2022-07-16,743876.16
Mount Eden,2025-08-19,1100481.03
Manukau,2023-11-17,820419.34
Manukau,2024-03-10,1179482.39
Grey Lynn,2023-05-01,1091576.65
Mount Eden,2023-12-05,814552.31
Albany,2023-08-27,600817.44
Albany,2022-05-01,655507.78
Grey Lynn,2022-11-23,1035401.45
Ponsonby,2023-01-05,1341013.76
Ponsonby,2024-08-14,1345090.29
Albany,2022-09-07,889748.04
Grey Lynn,2024-12-02,1069319.74
Albany,2022-12-05,802143.0
Grey Lynn,2022-05-09,835131.95
Albany,2022-04-17,707747.1
Mount Eden,2025-03-12,1078890.64
Ponsonby,2023-11-19,1485940.33
Mount Eden,2022-03-25,720844.08
Grey Lynn,2023-05-04,832453.26
Ponsonby,2023-11-21,1402665.99
Remuera,2022-07-08,1597060.92
Epsom,2023-01-07,1019187.03
Manukau,2024-06-04,1164891.68
Albany,2025-12-10,715206.25
Remuera,2021-04-21,1546240.74
Ponsonby,2023-07-05,1320891.85
Ponsonby,2021-07-28,1501901.68
Remuera,2021-08-22,1419684.22
Mount Eden,2025-11-01,1045304.33
Albany,2025-11-07,709877.69
Remuera,2023-11-23,1802632.7
Grey Lynn,2021-10-08,749983.02
Remuera,2021-03-15,1530937.12
Ponsonby,2021-05-03,1344043.72
Grey Lynn,2023-01-31,1084469.76
Remuera,2024-10-16,1776112.51
Mount Eden,2023-02-03,968850.96
Albany,2025-03-19,746140.92
Grey Lynn,2023-11-13,1092164.6
Grey Lynn,2022-09-19,932146.91
Grey Lynn,2024-06-12,1018866.02
Manukau,2022-11-29,895591.47
Mount Eden,2022-11-10,905521.14
Manukau,2023-06-10,946792.29
Mount Eden,2023-06-11,921643.33
Grey Lynn,2022-11-20,964513.25
Manukau,2024-02-09,1087867.19
Albany,2025-06-11,873981.82
Remuera,2023-03-22,1761068.59
Mount Eden,2023-07-05,1228674.57
Ponsonby,2025-05-27,1398661.54
Manukau,2022-05-06,1084457.87
Mount Eden,2022-12-09,957258.57
Grey Lynn,2025-03-30,1122474.03
Mount Eden,2024-07-12,1181396.98
Ponsonby,2022-05-21,1247884.54
Manukau,2022-02-14,979774.77
Remuera,2023-02-27,4500000.0
Remuera,2021-09-23,1618103.99
Manukau,2022-06-24,946314.12
Grey Lynn,2023-11-15,1232653.3
Ponsonby,2024-09-29,1367083.21
Manukau,2024-02-21,1119449.6
Remuera,2023-04-10,1799173.71
Remuera,2025-09-10,1721144.55
Mount Eden,2022-12-31,718857.94
